"ride_id";"rideable_type";"started_at";"ended_at";"start_station_name";"member_casual";"duration"
"748A93D7DE8A41CD";"classic_bike";"2024-01-25 15:49:59";"2024-01-25 15:52:35";"1st & O St NW";"member";156
"75CBFD136F06305B";"classic_bike";"2024-01-02 16:44:58";"2024-01-02 16:53:25";"1st & O St NW";"member";507
"0536C9720F87E04C";"classic_bike";"2024-01-24 15:40:15";"2024-01-24 15:43:55";"1st & O St NW";"member";220
"9E17390C218783B5";"classic_bike";"2024-01-04 15:35:00";"2024-01-04 15:37:35";"1st & O St NW";"member";155
"00727D0E773CDFF7";"electric_bike";"2024-01-05 12:27:58";"2024-01-05 12:35:40";"1st & O St NW";"casual";462
"CFE1D1300DA4B471";"classic_bike";"2024-01-02 08:04:00";"2024-01-02 08:20:06";"1st & O St NW";"casual";966
"9645567A2A28DD0C";"classic_bike";"2024-01-03 08:30:20";"2024-01-03 08:43:36";"1st & O St NW";"casual";796
"33A3DDDBA995093F";"electric_bike";"2024-01-28 16:03:16";"2024-01-28 16:10:47";"11th & Park Rd NW";"member";451
"EC4E369AEB78721E";"electric_bike";"2024-01-28 12:54:01";"2024-01-28 13:00:03";"11th & Park Rd NW";"member";362
"1171330C322E4BC1";"classic_bike";"2024-01-29 09:05:20";"2024-01-29 09:14:50";"1st & O St NW";"member";570
"70618C6DE3FA6AFD";"electric_bike";"2024-01-22 17:21:15";"2024-01-22 17:25:59";"First St & Fayette St";"casual";284
"E67A158E37FEEAF1";"classic_bike";"2024-01-03 08:15:18";"2024-01-03 08:26:12";"1st & O St NW";"casual";654
"C52813D5CB7A29E6";"electric_bike";"2024-01-25 22:29:06";"2024-01-25 22:37:40";"Kansas Ave & Sherman Cr NW";"member";514
"CE392FE4D237507A";"electric_bike";"2024-01-11 08:19:57";"2024-01-11 08:35:00";"Wilson Blvd & N Troy St";"member";903
"21C6D36738362173";"electric_bike";"2024-01-11 17:53:18";"2024-01-11 17:57:12";"Wilson Blvd & N Oak St";"casual";234
"116786D537ACD2AC";"classic_bike";"2024-01-25 15:56:41";"2024-01-25 17:04:17";"9th St & Pennsylvania Ave NW";"casual";4056
"EADB7F56F835FBF4";"electric_bike";"2024-01-26 21:31:18";"2024-01-26 21:36:15";"Wilson Blvd & N Oak St";"member";297
"72F89023B6C571E7";"electric_bike";"2024-01-10 12:54:04";"2024-01-10 13:02:38";"Half & Water St SW";"member";514
"D836BD6830A36378";"classic_bike";"2024-01-03 12:51:12";"2024-01-03 13:01:34";"Half & Water St SW";"member";622
"D80EA43E2A4AFEA9";"classic_bike";"2024-01-05 12:49:55";"2024-01-05 13:00:06";"Half & Water St SW";"member";611
"27AD6F178F9FA645";"electric_bike";"2024-01-11 12:53:30";"2024-01-11 13:02:27";"Half & Water St SW";"member";537
"030B8C7D920F60F6";"electric_bike";"2024-01-10 16:35:44";"2024-01-10 16:45:20";"9th St & Pennsylvania Ave NW";"member";576
"1DC7DBB4CD880129";"classic_bike";"2024-01-07 16:21:56";"2024-01-07 16:26:00";"Wilson Blvd & N Oak St";"member";244
"EFF2372E0772CC81";"electric_bike";"2024-01-29 13:52:50";"2024-01-29 14:11:38";"Eastern Market / 7th & North Carolina Ave SE";"member";1128
"65C15787BADC8EC6";"electric_bike";"2024-01-24 12:37:27";"2024-01-24 12:45:14";"Georgia & New Hampshire Ave NW";"casual";467
"2CBD172FE9B20392";"classic_bike";"2024-01-11 20:23:12";"2024-01-11 20:39:14";"5th & F St NW";"casual";962
"2A0BF3DC51DB309F";"electric_bike";"2024-01-23 15:14:39";"2024-01-23 15:47:27";"Georgia & New Hampshire Ave NW";"casual";1968
"1F3760BBE80AB838";"electric_bike";"2024-01-10 11:45:27";"2024-01-10 11:52:57";"Georgia & New Hampshire Ave NW";"casual";450
"04730B123E81B92B";"classic_bike";"2024-01-03 16:22:12";"2024-01-03 16:58:27";"5th & F St NW";"member";2175
"5039AFE4AFCF39BE";"electric_bike";"2024-01-27 14:02:25";"2024-01-27 14:12:34";"5th & F St NW";"member";609
"AB6DFA46B1BE0008";"classic_bike";"2024-01-23 17:40:46";"2024-01-23 17:47:37";"5th & F St NW";"member";411
"E7A7284523A4F162";"classic_bike";"2024-01-26 06:45:52";"2024-01-26 06:51:16";"Eastern Market / 7th & North Carolina Ave SE";"member";324
"5CD1F52634544938";"electric_bike";"2024-01-27 14:02:30";"2024-01-27 14:12:40";"5th & F St NW";"member";610
"4CDD792B19BE5AA1";"classic_bike";"2024-01-29 21:05:38";"2024-01-29 21:21:45";"Eastern Market / 7th & North Carolina Ave SE";"member";967
"BB910B54D2945A5D";"classic_bike";"2024-01-07 20:53:26";"2024-01-07 21:02:50";"11th & S St NW";"member";564
"9803DB10EEEA722A";"electric_bike";"2024-01-18 15:44:54";"2024-01-18 15:50:26";"1st & N St SE";"casual";332
"5E8AC4C164E56F57";"classic_bike";"2024-01-26 17:21:10";"2024-01-26 17:32:57";"Wilson Blvd & N Oak St";"casual";707
"8F2E3F2FDF972CC5";"electric_bike";"2024-01-30 11:40:58";"2024-01-30 11:48:21";"Virginia Hospital Center";"member";443
"89A424B62FC93872";"classic_bike";"2024-01-07 15:16:10";"2024-01-07 15:59:54";"9th St & Pennsylvania Ave NW";"member";2624
"DCB397CCC6275ACF";"classic_bike";"2024-01-24 13:18:50";"2024-01-24 13:53:07";"Columbia Pike & S Greenbrier St";"member";2057
"AFE4CCF95E65DB7F";"electric_bike";"2024-01-25 07:11:05";"2024-01-25 07:35:13";"Half & Water St SW";"casual";1448
"F314D85AC6027E18";"electric_bike";"2024-01-26 16:12:33";"2024-01-26 16:18:36";"Virginia Hospital Center";"casual";363
"CECFC90BFA55107A";"electric_bike";"2024-01-26 08:22:15";"2024-01-26 08:47:59";"Half & Water St SW";"casual";1544
"FF27A3F0CD836D65";"classic_bike";"2024-01-29 09:49:40";"2024-01-29 09:57:03";"Virginia Hospital Center";"member";443
"4DA38021CBF906C4";"electric_bike";"2024-01-03 17:49:30";"2024-01-03 18:18:53";"Wilson Blvd & N Oak St";"member";1763
"1AE14BD4B2B02517";"electric_bike";"2024-01-12 18:02:14";"2024-01-12 18:32:54";"Wilson Blvd & N Oak St";"member";1840
"D4D7E5E68A9F688E";"electric_bike";"2024-01-11 08:06:52";"2024-01-11 08:11:25";"9th St & Pennsylvania Ave NW";"member";273
"1BD12401E0E8F3E5";"classic_bike";"2024-01-08 11:49:57";"2024-01-08 11:57:57";"Oklahoma Ave & D St NE";"member";480
"29739622EBD313BE";"classic_bike";"2024-01-28 22:01:13";"2024-01-28 22:14:22";"1st & N St SE";"member";789
"F4F6331C9BB35079";"electric_bike";"2024-01-25 15:18:53";"2024-01-25 15:26:29";"8th & H St NE";"member";456
"EE2CFA0D36285661";"classic_bike";"2024-01-13 14:19:39";"2024-01-13 14:39:13";"8th & H St NE";"member";1174
"92804F789406CDAE";"classic_bike";"2024-01-13 19:55:33";"2024-01-13 20:07:23";"2nd St & Massachusetts Ave NE";"member";710
"3EC5A8B9E00CA645";"classic_bike";"2024-01-29 08:38:38";"2024-01-29 08:45:23";"2nd St & Massachusetts Ave NE";"casual";405
"06F568BCF84A2828";"electric_bike";"2024-01-14 10:41:45";"2024-01-14 10:46:47";"2nd St & Massachusetts Ave NE";"casual";302
"777D5376426A48B5";"classic_bike";"2024-01-29 11:25:52";"2024-01-29 11:37:08";"2nd St & Massachusetts Ave NE";"member";676
"B70591DA910B073E";"classic_bike";"2024-01-11 15:22:55";"2024-01-11 15:39:14";"N Lynn St & Fairfax Dr";"member";979
"544754B9025E106C";"electric_bike";"2024-01-26 08:19:23";"2024-01-26 08:42:59";"Columbia & Ontario Rd NW";"member";1416
"DEEC7EEB38EF659D";"classic_bike";"2024-01-12 14:37:26";"2024-01-12 14:53:44";"N Lynn St & Fairfax Dr";"member";978
"1195EB58F547760F";"electric_bike";"2024-01-14 14:30:55";"2024-01-14 14:41:10";"N Lynn St & Fairfax Dr";"member";615
"A13881E86671455F";"classic_bike";"2024-01-02 14:04:56";"2024-01-02 14:25:48";"N Lynn St & Fairfax Dr";"member";1252
"FA05EAF2E33A2CF4";"classic_bike";"2024-01-07 14:40:52";"2024-01-07 15:00:54";"N Lynn St & Fairfax Dr";"member";1202
"54F90E2C1E23DDBE";"electric_bike";"2024-01-30 08:42:19";"2024-01-30 08:56:50";"Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center";"member";871
"27CB36B8736692DC";"classic_bike";"2024-01-26 08:43:51";"2024-01-26 08:53:58";"Massachusetts Ave & 6th St NE";"member";607
"A59D25E9617F15BF";"classic_bike";"2024-01-10 16:29:39";"2024-01-10 16:36:01";"Alabama & MLK Ave SE";"member";382
"7F6EB9E56D972AD2";"classic_bike";"2024-01-05 22:58:07";"2024-01-05 23:04:08";"1st & O St NW";"member";361
"C6FF417383F01E06";"classic_bike";"2024-01-13 12:45:26";"2024-01-13 12:51:39";"Alabama & MLK Ave SE";"casual";373
"8DD20FEDB618CE47";"classic_bike";"2024-01-08 19:11:35";"2024-01-08 19:15:42";"1st & O St NW";"member";247
"03A98F39C412ACD9";"classic_bike";"2024-01-02 17:11:18";"2024-01-02 17:23:10";"11th & Park Rd NW";"casual";712
"D0B068C458A2A5A7";"classic_bike";"2024-01-01 13:58:05";"2024-01-01 14:05:49";"11th & Park Rd NW";"member";464
"A66AAE54C9F23234";"electric_bike";"2024-01-14 11:35:58";"2024-01-14 11:55:27";"11th & Park Rd NW";"casual";1169
"622AB63A6236BD71";"electric_bike";"2024-01-12 12:53:19";"2024-01-12 13:04:06";"9th St & Pennsylvania Ave NW";"member";647
"606FBEF8A428B00F";"electric_bike";"2024-01-22 18:07:18";"2024-01-22 18:19:59";"9th St & Pennsylvania Ave NW";"member";761
"E6402C5C0993F13E";"electric_bike";"2024-01-03 17:09:29";"2024-01-03 17:24:02";"9th St & Pennsylvania Ave NW";"member";873
